 Indian/Mauritius, 2022-09-23 03:14:06.788963+04
 Europe/Bratislava, 2022-09-23 01:14:06.936104+02
 Europe/Kiev, 2022-09-23 02:14:06.936445+03
 Europe/Kaliningrad, 2022-09-23 01:14:06.936811+02
 Europe/Zaporozhye, 2022-09-23 02:14:06.937143+03
 Europe/Vienna, 2022-09-23 01:14:06.937484+02
 Europe/Budapest, 2022-09-23 01:14:06.937896+02
 Europe/Vilnius, 2022-09-23 02:14:06.938222+03
 Europe/Monaco, 2022-09-23 01:14:06.938557+02
 Europe/Oslo, 2022-09-23 01:14:06.938927+02
 Europe/Astrakhan, 2022-09-23 03:14:06.939183+04
 Europe/Simferopol, 2022-09-23 02:14:06.939662+03
 Europe/Volgograd, 2022-09-23 02:14:06.93992+03
 Europe/Isle_of_Man, 2022-09-23 00:14:06.940263+01
 Europe/London, 2022-09-23 00:14:06.940765+01
 Europe/Riga, 2022-09-23 02:14:06.941063+03
 Europe/Andorra, 2022-09-23 01:14:06.941356+02
 Europe/Prague, 2022-09-23 01:14:06.941649+02
 Europe/Berlin, 2022-09-23 01:14:06.941957+02
 Europe/Tallinn, 2022-09-23 02:14:06.94228+03
 Europe/Rome, 2022-09-23 01:14:06.942615+02
 Europe/Malta, 2022-09-23 01:14:06.942898+02
 Europe/Zagreb, 2022-09-23 01:14:06.943185+02
 Europe/Amsterdam, 2022-09-23 01:14:06.943469+02
 Europe/Nicosia, 2022-09-23 02:14:06.943751+03
 Europe/Bucharest, 2022-09-23 02:14:06.944031+03
 Europe/Copenhagen, 2022-09-23 01:14:06.944316+02
 Europe/Chisinau, 2022-09-23 02:14:06.944618+03
 Europe/Mariehamn, 2022-09-23 02:14:06.944904+03
 Europe/Sofia, 2022-09-23 02:14:06.945211+03
 Europe/Athens, 2022-09-23 02:14:06.945528+03
 Europe/Stockholm, 2022-09-23 01:14:06.945816+02
 Europe/Samara, 2022-09-23 03:14:06.946056+04
 Europe/Brussels, 2022-09-23 01:14:06.946338+02
 Europe/Warsaw, 2022-09-23 01:14:06.946613+02
 ROK, 2022-09-23 08:14:06.94679+09
 Navajo, 2022-09-22 17:14:06.94702-06
 Singapore, 2022-09-23 07:14:06.947245+08
 GB, 2022-09-23 00:14:06.94752+01
 Mexico/BajaNorte, 2022-09-22 16:14:06.947783-07
 Mexico/General, 2022-09-22 18:14:06.948062-05
 Mexico/BajaSur, 2022-09-22 17:14:06.948311-06
 EST, 2022-09-22 18:14:06.948511-05
 GMT0, 2022-09-22 23:14:06.948729+00
 Hongkong, 2022-09-23 07:14:06.948907+08
 PRC, 2022-09-23 07:14:06.949083+08
 Iran, 2022-09-23 02:44:06.949281+03:30
 MST7MDT, 2022-09-22 17:14:06.949496-06
 WET, 2022-09-23 00:14:06.949735+01
 W-SU, 2022-09-23 02:14:06.949984+03
 UCT, 2022-09-22 23:14:06.950168+00
 Cuba, 2022-09-22 19:14:06.95042-04
 Egypt, 2022-09-23 01:14:06.950634+02
 GMT+0, 2022-09-22 23:14:06.950823+00
 EET, 2022-09-23 02:14:06.951045+03
 Israel, 2022-09-23 02:14:06.951272+03
 Africa/Sao_Tome, 2022-09-22 23:14:06.95154+00
 Africa/Conakry, 2022-09-22 23:14:06.951848+00
 Africa/Dakar, 2022-09-22 23:14:06.952081+00
 Africa/Ndjamena, 2022-09-23 00:14:06.952332+01
 Africa/Casablanca, 2022-09-23 00:14:06.952733+01
 Africa/Lome, 2022-09-22 23:14:06.95299+00
 Africa/Algiers, 2022-09-23 00:14:06.953244+01
 Africa/Mogadishu, 2022-09-23 02:14:06.95351+03
 Africa/Lagos, 2022-09-23 00:14:06.953787+01
 Africa/Brazzaville, 2022-09-23 00:14:06.95406+01
 Africa/Timbuktu, 2022-09-22 23:14:06.954319+00
 Africa/Nouakchott, 2022-09-22 23:14:06.954569+00
 Africa/Maseru, 2022-09-23 01:14:06.954852+02
 Africa/Libreville, 2022-09-23 00:14:06.955112+01
 Africa/Harare, 2022-09-23 01:14:06.955348+02
 Africa/Malabo, 2022-09-23 00:14:06.955589+01
 Africa/Bangui, 2022-09-23 00:14:06.955979+01
 Africa/Nairobi, 2022-09-23 02:14:06.956298+03
 Africa/Kinshasa, 2022-09-23 00:14:06.956561+01
 Africa/Porto-Novo, 2022-09-23 00:14:06.956945+01
 Africa/Cairo, 2022-09-23 01:14:06.957458+02
 Africa/Douala, 2022-09-23 00:14:06.957745+01
 Africa/Juba, 2022-09-23 01:14:06.958014+02
 Africa/Gaborone, 2022-09-23 01:14:06.958292+02
 Africa/Tunis, 2022-09-23 00:14:06.958528+01
 Africa/Kampala, 2022-09-23 02:14:06.958767+03
 Africa/Mbabane, 2022-09-23 01:14:06.959278+02
 Africa/Addis_Ababa, 2022-09-23 02:14:06.959595+03
 Africa/Maputo, 2022-09-23 01:14:06.959854+02
 Africa/Bissau, 2022-09-22 23:14:06.960115+00
 Africa/Blantyre, 2022-09-23 01:14:06.960396+02
 Africa/Niamey, 2022-09-23 00:14:06.960633+01
 Africa/Banjul, 2022-09-22 23:14:06.960875+00
 Africa/Abidjan, 2022-09-22 23:14:06.96112+00
 Africa/Asmara, 2022-09-23 02:14:06.961354+03
 Africa/Bamako, 2022-09-22 23:14:06.961587+00
 Africa/Ouagadougou, 2022-09-22 23:14:06.961876+00
 Africa/Lusaka, 2022-09-23 01:14:06.962107+02
 Africa/Luanda, 2022-09-23 00:14:06.962376+01
 Africa/Asmera, 2022-09-23 02:14:06.962685+03
 Africa/Lubumbashi, 2022-09-23 01:14:06.96293+02
 Africa/Accra, 2022-09-22 23:14:06.963194+00
 Africa/Khartoum, 2022-09-23 01:14:06.963454+02
 Africa/Ceuta, 2022-09-23 01:14:06.963766+02
 Africa/Bujumbura, 2022-09-23 01:14:06.964021+02
 Africa/Windhoek, 2022-09-23 01:14:06.964264+02
 Africa/El_Aaiun, 2022-09-23 00:14:06.964524+01
 Africa/Tripoli, 2022-09-23 01:14:06.964786+02
 Africa/Monrovia, 2022-09-22 23:14:06.965022+00
 Africa/Dar_es_Salaam, 2022-09-23 02:14:06.965279+03
 Africa/Johannesburg, 2022-09-23 01:14:06.965569+02
 Africa/Kigali, 2022-09-23 01:14:06.965808+02
 Africa/Djibouti, 2022-09-23 02:14:06.966067+03
 Africa/Freetown, 2022-09-22 23:14:06.966304+00
 Factory, 2022-09-22 23:14:06.966486+00
 UTC, 2022-09-22 23:14:06.966663+00
 Chile/EasterIsland, 2022-09-22 18:14:06.966895-05
 Chile/Continental, 2022-09-22 20:14:06.967152-03
 HST, 2022-09-22 13:14:06.967334-10
 Canada/Atlantic, 2022-09-22 20:14:06.967584-03
 Canada/Pacific, 2022-09-22 16:14:06.967827-07
 Canada/Eastern, 2022-09-22 19:14:06.968095-04
 Canada/Yukon, 2022-09-22 16:14:06.968304-07
 Canada/Saskatchewan, 2022-09-22 17:14:06.968515-06
 Canada/Newfoundland, 2022-09-22 20:44:06.968799-02:30
 Canada/Central, 2022-09-22 18:14:06.969102-05
 Canada/Mountain, 2022-09-22 17:14:06.969523-06
 Iceland, 2022-09-22 23:14:06.969782+00
